Country,Region,Year,Economy,Family,Freedom,Generosity,Happiness_Rank,Happines_Score,Health,Trust
Algeria,Middle East and Northern Africa,1/1/2017,1.1,1.146217465,0.233335808,0.14609611,53,5.9,0.617584646,0.069436647
Latvia,Central and Eastern Europe,1/1/2017,1.3,1.404714942,0.325707912,0.073842727,54,5.8,0.638566971,0.153074786
South Korea,Eastern Asia,1/1/2017,1.4,1.128274441,0.257921666,0.063282669,55,5.8,0.900214076,0.206674367
Moldova,Central and Eastern Europe,1/1/2017,0.7,1.251825571,0.240729049,0.010091286,56,5.8,0.589465201,0.208779126
Romania,Central and Eastern Europe,1/1/2017,1.2,1.15009129,0.457003742,0.004387901,57,5.8,0.685158312,0.133519918
Bolivia,Latin America and Caribbean,1/1/2017,0.8,1.227619052,0.558732927,0.060477726,58,5.8,0.47363025,0.225560725
Turkmenistan,Central and Eastern Europe,1/1/2017,1.1,1.493149161,0.418271929,0.25927034,59,5.8,0.43772608,0.249924988
Kazakhstan,Central and Eastern Europe,1/1/2017,1.3,1.384369016,0.437454283,0.119282886,60,5.8,0.606041551,0.201964423
North Cyprus,Western Europe,1/1/2017,1.3,1.186303377,0.471203625,0.155353352,61,5.8,0.834647238,0.266845703
Slovenia,Central and Eastern Europe,1/1/2017,1.3,1.452518821,0.572575808,0.045128979,62,5.8,0.790828228,0.242649093
Peru,Latin America and Caribbean,1/1/2017,1,1.218770385,0.450002879,0.047049087,63,5.7,0.630166113,0.126819715
Mauritius,Sub-Saharan Africa,1/1/2017,1.2,1.20956099,0.491247326,0.042181555,64,5.6,0.638007462,0.360933751
Cyprus,Western Europe,1/1/2017,1.4,1.131363273,0.355111539,0.041237976,65,5.6,0.844714701,0.271254301
Estonia,Central and Eastern Europe,1/1/2017,1.3,1.4766711,0.47913143,0.183248922,66,5.6,0.695168316,0.098890811
Belarus,Central and Eastern Europe,1/1/2017,1.2,1.444945216,0.295400262,0.156313822,67,5.6,0.637714267,0.155137509
Libya,Middle East and Northern Africa,1/1/2017,1.1,1.35756433,0.46573323,0.09261021,68,5.5,0.52016902,0.152073666
Turkey,Middle East and Northern Africa,1/1/2017,1.2,1.337753177,0.3007406,0.09967158,69,5.5,0.637605608,0.046693042
Paraguay,Latin America and Caribbean,1/1/2017,0.9,1.50728488,0.473507792,0.091065913,70,5.5,0.579250693,0.224150658
"Hong Kong S.A.R., China",Eastern Asia,1/1/2017,1.6,1.262790918,0.490968645,0.293933749,71,5.5,0.943062425,0.374465793
Philippines,Southeastern Asia,1/1/2017,0.9,1.253917575,0.585214674,0.099331893,72,5.4,0.468009055,0.193513423
Serbia,Central and Eastern Europe,1/1/2017,1.1,1.258189797,0.208715528,0.040903781,73,5.4,0.650784671,0.220125884
Jordan,Middle East and Northern Africa,1/1/2017,1,1.239088893,0.418421149,0.119803272,74,5.3,0.604590058,0.17217046
Hungary,Central and Eastern Europe,1/1/2017,1.3,1.343133092,0.175863519,0.036636937,75,5.3,0.687763453,0.078401662
Jamaica,Latin America and Caribbean,1/1/2017,0.9,1.368218064,0.474307239,0.055267781,76,5.3,0.641022384,0.233818337
Croatia,Central and Eastern Europe,1/1/2017,1.2,0.967983007,0.255772293,0.04310311,77,5.3,0.701288521,0.248002976
Kosovo,Central and Eastern Europe,1/1/2017,1,1.137853503,0.260287941,0.057471618,78,5.3,0.54145205,0.319931448
China,Eastern Asia,1/1/2017,1.1,1.160837412,0.472787708,0.022794275,79,5.3,0.741415501,0.028806841
Pakistan,Southern Asia,1/1/2017,0.7,0.67269069,0.235215262,0.124348067,80,5.3,0.402047783,0.315446019
Indonesia,Southeastern Asia,1/1/2017,1,1.274444699,0.443323463,0.015317135,81,5.3,0.492345721,0.611704588
Venezuela,Latin America and Caribbean,1/1/2017,1.1,1.431337595,0.153997123,0.064491123,82,5.3,0.617144227,0.06501963
Montenegro,Central and Eastern Europe,1/1/2017,1.1,1.238376498,0.194989055,0.088174194,83,5.2,0.667464674,0.197911024
Morocco,Middle East and Northern Africa,1/1/2017,0.9,0.774864435,0.408158332,0.087763183,84,5.2,0.597710669,0.032209955
Azerbaijan,Central and Eastern Europe,1/1/2017,1.2,1.152400255,0.398155838,0.180987507,85,5.2,0.540775776,0.04526934
Dominican Republic,Latin America and Caribbean,1/1/2017,1.1,1.402416706,0.552589834,0.113945253,86,5.2,0.574873745,0.18696785
Greece,Western Europe,1/1/2017,1.3,1.239414573,0.095731251,0.043289777,87,5.2,0.810198903,0
Lebanon,Middle East and Northern Africa,1/1/2017,1.1,1.129624248,0.288515985,0.03751383,88,5.2,0.735081077,0.264450759
Portugal,Western Europe,1/1/2017,1.3,1.367043018,0.4984653,0.015869452,89,5.2,0.795843542,0.095102713
Bosnia and Herzegovina,Central and Eastern Europe,1/1/2017,1,1.069335938,0.204403177,0,90,5.2,0.705186307,0.328867495
Honduras,Latin America and Caribbean,1/1/2017,0.7,1.143944979,0.34807986,0.073345453,91,5.2,0.58256948,0.236188874
Macedonia,Central and Eastern Europe,1/1/2017,1.1,1.207893014,0.325905979,0.060277794,92,5.2,0.644948184,0.253760964
Somalia,Sub-Saharan Africa,1/1/2017,0,0.721151352,0.602126956,0.282410324,93,5.2,0.113989137,0.291631311
Vietnam,Southeastern Asia,1/1/2017,0.8,1.277491331,0.571055591,0.087633237,94,5.1,0.652168989,0.234968051
Nigeria,Sub-Saharan Africa,1/1/2017,0.8,1.215770483,0.394952565,0.026121566,95,5.1,0.05691573,0.230947196
Tajikistan,Central and Eastern Europe,1/1/2017,0.5,1.271463275,0.471566707,0.146377146,96,5,0.529235125,0.248997644
Bhutan,Southern Asia,1/1/2017,0.9,1.340126514,0.501537681,0.17338039,97,5,0.495879292,0.474054545
Kyrgyzstan,Central and Eastern Europe,1/1/2017,0.6,1.394238591,0.454943389,0.039439179,98,5,0.553457797,0.428580374
Nepal,Southern Asia,1/1/2017,0.5,1.179283261,0.440305948,0.072975546,99,5,0.504130781,0.394096166
Mongolia,Eastern Asia,1/1/2017,1,1.493011236,0.394143969,0.032902289,100,5,0.557783484,0.33846423
South Africa,Sub-Saharan Africa,1/1/2017,1.1,1.384788632,0.479246736,0.072509497,101,4.8,0.18708007,0.13936238
Tunisia,Middle East and Northern Africa,1/1/2017,1,0.86835146,0.28968069,0.086723149,102,4.8,0.613212049,0.049693357
Palestinian Territories,Middle East and Northern Africa,1/1/2017,0.7,1.155647159,0.254711062,0.089282602,103,4.8,0.565666974,0.114173174
Egypt,Middle East and Northern Africa,1/1/2017,1,0.997471392,0.282110155,0.114381365,104,4.7,0.520187259,0.128631443
Bulgaria,Central and Eastern Europe,1/1/2017,1.2,1.434379458,0.289231718,0.011051531,105,4.7,0.70821768,0.113177694
Sierra Leone,Sub-Saharan Africa,1/1/2017,0.4,0.984136045,0.318697691,0.071095176,106,4.7,0.005564754,0.293040901
Cameroon,Sub-Saharan Africa,1/1/2017,0.6,0.946018219,0.430388749,0.051306631,107,4.7,0.132892117,0.236298457
Iran,Middle East and Northern Africa,1/1/2017,1.2,0.711551249,0.249322608,0.048761073,108,4.7,0.639333189,0.387242913
Albania,Central and Eastern Europe,1/1/2017,1,0.803685248,0.381498635,0.039864216,109,4.6,0.731159747,0.201312944
Bangladesh,Southern Asia,1/1/2017,0.6,0.735131741,0.478356659,0.123717859,110,4.6,0.533241034,0.172255352
Namibia,Sub-Saharan Africa,1/1/2017,1,1.098470807,0.520303547,0.093146972,111,4.6,0.338611811,0.077133745
Kenya,Sub-Saharan Africa,1/1/2017,0.6,1.067950726,0.452763766,0.064641319,112,4.6,0.30998835,0.444860309
Mozambique,Sub-Saharan Africa,1/1/2017,0.2,0.870701015,0.480791092,0.179436386,113,4.6,0.106654435,0.322228104
Myanmar,Southeastern Asia,1/1/2017,0.4,1.123235941,0.514492035,0.188816205,114,4.5,0.397522569,0.838075161
Senegal,Sub-Saharan Africa,1/1/2017,0.5,1.179691911,0.377922267,0.115460448,115,4.5,0.409362853,0.183468893
Zambia,Sub-Saharan Africa,1/1/2017,0.6,1.003187299,0.461603492,0.07821355,116,4.5,0.257835895,0.249580145
Iraq,Middle East and Northern Africa,1/1/2017,1.1,0.978613198,0.288555533,0.107215755,117,4.5,0.50118047,0.199637264
Gabon,Sub-Saharan Africa,1/1/2017,1.2,1.155620217,0.312328577,0.076046787,118,4.5,0.356578588,0.043785378
Ethiopia,Sub-Saharan Africa,1/1/2017,0.3,0.864669204,0.408842742,0.165455714,119,4.5,0.353409708,0.31265074
Sri Lanka,Southern Asia,1/1/2017,1,1.259976387,0.561213255,0.073653966,120,4.4,0.625130832,0.490863562
Armenia,Central and Eastern Europe,1/1/2017,0.9,1.007483721,0.198303267,0.026674422,121,4.4,0.637524426,0.083488092
India,Southern Asia,1/1/2017,0.8,0.754372597,0.469987005,0.092226885,122,4.3,0.455427617,0.231538489
Mauritania,Sub-Saharan Africa,1/1/2017,0.6,1.27203083,0.096098043,0.136957005,123,4.3,0.28534928,0.201870024
Congo (Brazzaville),Sub-Saharan Africa,1/1/2017,0.8,0.832044363,0.435025871,0.079618134,124,4.3,0.289957434,0.120852128
Georgia,Central and Eastern Europe,1/1/2017,1,0.570614934,0.309410036,0.251666635,125,4.3,0.649546981,0.054008815
Congo (Kinshasa),Sub-Saharan Africa,1/1/2017,0.1,1.229023457,0.235961348,0.060241356,126,4.3,0.191407025,0.246455833
Mali,Sub-Saharan Africa,1/1/2017,0.5,1.281473398,0.306613743,0.104970247,127,4.2,0.169365674,0.183354199
Ivory Coast,Sub-Saharan Africa,1/1/2017,0.6,0.90478003,0.447706193,0.130061775,128,4.2,0.04864217,0.20123747
Cambodia,Southeastern Asia,1/1/2017,0.6,1.006238341,0.633375823,0.068105951,129,4.2,0.429783404,0.385922968
Sudan,Sub-Saharan Africa,1/1/2017,0.7,1.21400857,0.014995855,0.08984752,130,4.1,0.290920824,0.182317451
Ghana,Sub-Saharan Africa,1/1/2017,0.7,0.873664737,0.423026294,0.02533637,131,4.1,0.295637727,0.256923944
Ukraine,Central and Eastern Europe,1/1/2017,0.9,1.394537568,0.122974776,0.023029471,132,4.1,0.575903952,0.270061463
Uganda,Sub-Saharan Africa,1/1/2017,0.4,1.129827738,0.443185955,0.057069719,133,4.1,0.217632607,0.325766057
Burkina Faso,Sub-Saharan Africa,1/1/2017,0.4,1.043280005,0.324367851,0.120328106,134,4,0.215844259,0.250864685
Niger,Sub-Saharan Africa,1/1/2017,0.2,0.993025005,0.363658696,0.138572946,135,4,0.268505007,0.228673846
Malawi,Sub-Saharan Africa,1/1/2017,0.2,0.512568831,0.466914654,0.072711654,136,4,0.315089583,0.28717047
Chad,Sub-Saharan Africa,1/1/2017,0.4,0.953855872,0.162342027,0.053581882,137,3.9,0.041134715,0.21611385
Zimbabwe,Sub-Saharan Africa,1/1/2017,0.4,1.083095908,0.336384207,0.095375381,138,3.9,0.196763754,0.189143494
Lesotho,Sub-Saharan Africa,1/1/2017,0.5,1.190095186,0.390661299,0.11909464,139,3.8,0,0.157497272
Angola,Sub-Saharan Africa,1/1/2017,0.9,1.10441196,0,0.069720335,140,3.8,0.049868666,0.09792649
Afghanistan,Southern Asia,1/1/2017,0.4,0.581543326,0.10617952,0.06115783,141,3.8,0.180746779,0.311870933
Botswana,Sub-Saharan Africa,1/1/2017,1.1,1.221554995,0.505196333,0.098583199,142,3.8,0.341755509,0.099348448
Benin,Sub-Saharan Africa,1/1/2017,0.4,0.435299844,0.425962776,0.060929015,143,3.7,0.209930211,0.207948461
Madagascar,Sub-Saharan Africa,1/1/2017,0.3,0.913020372,0.189196765,0.067231975,144,3.6,0.375223309,0.20873253
Haiti,Latin America and Caribbean,1/1/2017,0.4,0.640449822,0.030369857,0.09987215,145,3.6,0.27732113,0.489203781
Yemen,Middle East and Northern Africa,1/1/2017,0.6,0.935382247,0.249463722,0.056767423,146,3.6,0.310080916,0.104125209
South Sudan,Sub-Saharan Africa,1/1/2017,0.4,0.601323128,0.147062436,0.116793513,147,3.6,0.163486004,0.285670817
Liberia,Sub-Saharan Africa,1/1/2017,0.1,0.872117937,0.332881182,0.038948249,148,3.5,0.229918197,0.266549885
Guinea,Sub-Saharan Africa,1/1/2017,0.2,0.791244686,0.348587513,0.110937618,149,3.5,0.194129139,0.264815092
Togo,Sub-Saharan Africa,1/1/2017,0.3,0.43188253,0.380426139,0.095665015,150,3.5,0.247105569,0.196896151
Rwanda,Sub-Saharan Africa,1/1/2017,0.4,0.945707023,0.581843853,0.455220014,151,3.5,0.326424807,0.252756029
Syria,Middle East and Northern Africa,1/1/2017,0.8,0.396102607,0.081539445,0.151347131,152,3.5,0.500533342,0.493663728
Tanzania,Sub-Saharan Africa,1/1/2017,0.5,1.041989803,0.390017778,0.066035107,153,3.3,0.364509284,0.354256362
Burundi,Sub-Saharan Africa,1/1/2017,0.1,0.629793584,0.059900753,0.084147945,154,2.9,0.151610792,0.204435185
Central African Republic,Sub-Saharan Africa,1/1/2017,0,0,0.270842046,0.056565076,155,2.7,0.018772686,0.280876487
